TAZ,longitude_center,latitude_center,TAZ12_TEXT,RSA,CAA,ACRES,Area_SQMI
1,-117.97057912,33.9429546,0001,36,1,184.671349,0.28853752
2,-117.95756782,33.94263734,0002,36,1,247.587282,0.38684656
3,-117.94647298,33.94179326,0003,36,1,184.090555,0.28764132
4,-117.93718766,33.9414555,0004,36,1,213.556706,0.33368542
5,-117.92868166,33.94248675,0005,36,1,146.803606,0.2293872
6,-117.9199168,33.94293391,0006,36,2,168.538801,0.26334436
7,-117.97227872,33.93588137,0007,36,1,173.83198,0.27162269
8,-117.96367538,33.93566709,0008,36,1,170.919359,0.26706143
9,-117.95484884,33.9372946,0009,36,1,79.872703,0.12480107
10,-117.94344085,33.93314594,0010,36,1,216.519511,0.33831506
11,-117.92869277,33.93549511,0011,36,1,160.025199,0.25003932
12,-117.91998497,33.93550191,0012,36,2,160.009879,0.25001538
13,-117.95316281,33.93248238,0013,36,1,215.583293,0.33684882
14,-117.93736633,33.93022441,0014,36,1,126.978725,0.19840421
15,-117.97226822,33.93002129,0015,36,1,79.697328,0.1245311
16,-117.96357513,33.93002105,0016,36,1,81.21343,0.12689595
17,-117.92831344,33.928801,0017,36,1,132.384324,0.20685046
18,-117.91998549,33.92824657,0018,36,2,160.195,0.25030464
19,-117.97223803,33.92641707,0019,36,1,77.251547,0.12070522
20,-117.96354866,33.92639688,0020,36,1,80.026672,0.12504082
21,-117.95264086,33.92639751,0021,36,1,119.954423,0.18742874
22,-117.93892283,33.92271292,0022,36,1,189.604979,0.29625771
23,-117.93332136,33.92249575,0023,36,1,214.959899,0.3358748
24,-117.92435301,33.92168593,0024,36,1,165.651015,0.25882373
25,-117.97222642,33.92101318,0025,36,1,159.392493,0.24905478
26,-117.9636041,33.92195082,0026,36,1,116.793895,0.18249213
27,-117.95498143,33.92106514,0027,36,1,153.588867,0.23998258
28,-117.94691921,33.92071891,0028,36,1,137.912907,0.21548887
29,-117.91846177,33.92002992,0029,36,1,83.149146,0.12992639
30,-117.96337133,33.91833976,0030,36,1,44.073553,0.06886329
31,-117.96773293,33.91182583,0031,36,4,491.362162,0.76773781
32,-117.95314038,33.91230003,0032,36,4,311.704166,0.48703706
33,-117.94026661,33.91176468,0033,36,4,394.257666,0.61602683
34,-117.92411339,33.91493351,0034,36,4,214.359857,0.33493746
35,-117.90908602,33.9425144,0035,36,2,258.766783,0.40432372
36,-117.86060051,33.94170796,0036,41,3,626.90541,0.9795387
37,-117.83618884,33.93445615,0037,41,3,1395.831271,2.1810255
38,-117.89566834,33.93907131,0038,36,2,608.206114,0.950314
39,-117.80900796,33.93600208,0039,41,3,1927.230714,3.01126118
40,-117.8845317,33.93457918,0040,36,2,511.189745,0.79873193
41,-117.78539285,33.93783508,0041,41,3,693.132722,1.0830281
42,-117.90924108,33.93514563,0042,36,2,215.57531,0.33683418
43,-117.86300569,33.93056711,0043,41,3,1014.483579,1.58513049
44,-117.78445886,33.92242963,0044,41,3,2271.939967,3.54994302
45,-117.9111305,33.92825098,0045,36,2,165.69691,0.25890136
46,-117.90084428,33.92844459,0046,36,2,210.354078,0.32867817
47,-117.88937071,33.92491621,0047,36,2,259.139324,0.40490564
48,-117.87821186,33.92179999,0048,41,3,111.898384,0.17484078
49,-117.86964183,33.92187676,0049,41,3,161.736823,0.25271374
50,-117.91124185,33.92283885,0050,36,2,79.875325,0.12480518
51,-117.90177169,33.92305166,0051,36,2,87.396879,0.13655759
52,-117.85540968,33.92099514,0052,41,3,217.19789,0.33937294
53,-117.8370898,33.91695592,0053,41,3,577.364213,0.90213009
54,-117.88950294,33.91966962,0054,36,2,171.415654,0.26783642
55,-117.90262564,33.91936083,0055,36,2,81.397009,0.12718279
56,-117.91123064,33.91922914,0056,36,2,81.471469,0.12729913
57,-117.77232506,33.90939997,0057,41,9,778.566207,1.21652732
58,-117.82230538,33.91328823,0058,41,3,229.384427,0.35840845
59,-117.88898254,33.91530342,0059,36,2,205.40408,0.32094385
60,-117.87093464,33.91431975,0060,41,3,261.177254,0.40808984
61,-117.85643332,33.91474631,0061,41,3,277.41471,0.4334604
62,-117.87986208,33.91474531,0062,41,3,84.502479,0.132035
