TAZ,longitude_center,latitude_center,TAZ12_TEXT,ACRES,DU16,DU45,POP16,POP45,GQPOP16,GQPOP45,RPOP16,RPOP45,SFD16,SFD45,MFD16,MFD45,TOCDU16,TOCDU45,OCSDU16,OCSDU45,OCMDU16,OCMDU45,SEN16,SEN45,UEN16,UEN45,REM16,REM45,EMP2016,RE2016,SE2016,OTH2016,PSCH2016,EMP2045,RE2045,SE2045,OTH2045,PSCH2045,Total Daily Trips Through TAZ 2016,Total Daily Trips Through TAZ 2045,Trip Difference,TAZ Origin,Max_Time Difference Peak,Min_Time Difference Peak,Sum_Time Difference Peak,Max_Time Difference Uncongested,Min_Time Difference Uncongested,Sum_Time Difference Uncongested,Max_Difference - Driving Distance,Min_Difference - Driving Distance,Sum_Difference - Driving Distance,Max_Trip Difference,Min_Trip Difference,Sum_Trip Difference
408,-117.88374473,33.799157,0408,178.529751,516,5143,965,11816,0,0,965,11816,0,0,516,5143,355,5043,0,0,355,5043,0,0,0,0,585,7464,2115,0,1605,510,0,11496,3525,5306,2665,0,15883.8,105194.8,89311,408,9.07042,-10.354057,-178.647449,3.022175,-6.393101,-101.612302,2.251063,-6.016136,-103.533404,11872.163114,0,50285.382409
450,-117.87691172,33.80787855,0450,126.872267,0,945,2,2233,2,2,0,2231,0,0,0,945,0,906,0,0,0,906,0,0,0,0,1,1117,3468,7,1993,1468,0,15387,1792,5362,8233,0,18508.3,76334.1,57825.8,450,8.767424,-10.465519,-735.922116000001,3.193806,-6.22147,41.9340860000006,2.539006,-5.900543,-66.8593880000043,5674.730327,0,31812.182942
1596,-117.60481143,33.53724851,1596,857.00403,41,2039,115,5503,0,0,115,5503,12,1725,29,314,40,2018,12,1709,28,309,0,920,0,0,65,3176,9,0,0,9,0,5925,727,3740,1438,20,351.6,52885.3,52533.7,1596,20.033238,-16.047556,17118.702193,7.24840000000029e-02,-12.95378,-825.193294000009,5.819441,-7.646377,-197.481854,6231.227496,0,29408.082922
407,-117.89390705,33.80023088,0407,163.592051,500,5566,902,12515,7,7,895,12508,0,0,500,5566,398,5298,0,0,398,5298,0,0,0,0,525,8411,1990,39,980,971,0,9164,493,2800,5871,0,12046.3,62375.9,50329.6,407,8.37477,-10.731034,-869.974801000001,3.022175,-6.393101,-152.516611,3.024431,-6.016133,-63.667631,4080.697564,0,27279.098596
1597,-117.5863025,33.52754968,1597,1657.334154,0,3500,0,16520,0,0,0,16520,0,0,0,3500,0,3497,0,0,0,3497,0,0,0,0,0,10695,6,0,0,6,0,2069,0,0,2069,0,10.2,39259.6,39249.4,1597,23.35904,-17.672143,22445.206095,6.159397,-14.743245,1989.66305799999,3.43725,-8.652073,-2231.01513800002,2969.8264,0,20448.020946
1133,-117.8241602,33.70781422,1133,299.471058,0,648,0,1534,0,0,0,1534,0,0,0,648,0,622,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,3977,1469,2058,350,100,0,38597.1,38597.1,1133,2.929951,-13.031524,-5808.95823200001,3.02218,-6.393097,-687.251129000004,2.67613,-6.016133,-625.001279000001,1506.752831,0,19931.357517
1593,-117.57430786,33.53879378,1593,1672.362794,0,3500,0,8298,0,0,0,8298,0,0,0,3500,0,3441,0,0,0,3441,0,400,0,0,0,4789,0,0,0,0,0,1677,242,1174,201,60,0,33470.4,33470.4,1593,16.973454,-25.099157,11909.886285,5.447469,-22.685985,-11137.2620690001,2.879879,-13.178848,-9751.824889,3983.163715,0,18689.069881
282,-117.84676103,33.85186558,0282,184.51125,317,1317,318,2696,1,1,317,2695,0,0,317,1317,127,1195,0,0,127,1195,0,0,0,0,201,1720,3028,535,991,1502,0,6734,732,4500,1502,0,17605.3,49255.3,31650,282,9.681095,-10.863045,987.995786999998,3.022167,-6.393104,-79.9320920000001,2.44782,-6.01612900000001,-10.232076,3841.69223,0,17790.733186
1134,-117.81319076,33.70524764,1134,364.349741,443,2847,1256,7167,0,0,1256,7167,218,611,225,2236,403,2789,201,601,202,2188,0,0,0,0,443,2556,563,18,323,222,0,2613,418,1123,1072,0,6399.6,32825.7,26426.1,1134,2.947314,-13.911812,-4845.889278,2.97121,-6.444061,-515.957083000007,3.359401,-6.016132,-135.607209,1024.635902,0,13662.072224
1589,-117.60699207,33.55483343,1589,612.345744,0,829,0,1672,0,0,0,1672,0,0,0,829,0,813,0,0,0,813,0,0,0,0,0,668,0,0,0,0,0,2712,253,1954,505,0,0,23666.5,23666.5,1589,28.073464,-15.921105,29610.0944349999,7.073697,-14.19271,5357.87099499998,6.314355,-7.837451,3339.58909299998,4311.383941,0,12379.31888
